INSERT INTO `drop`
    (id, probability, isConditional, item) 
VALUES
(1, 100, 1, 2270),
(2, 100, 1, 2269),
(3, 100, 1, 19756),
(4, 46, 1, 17123),
(5, 46, 0, 362),
(6, 5, 1, 10967),
(7, 4.6, 0, 7423),
(8, 4.6, 0, 643),
(9, 1, 0, 16834),
(10, 100, 1, 2270),
(11, 100, 1, 2269),
(12, 100, 1, 19756),
(13, 46, 1, 17123),
(14, 46, 0, 362),
(15, 5, 1, 10967),
(16, 4.6, 0, 7423),
(17, 4.6, 0, 643),
(18, 1.1, 0, 16834),
(19, 100, 1, 2270),
(20, 100, 1, 2269),
(21, 100, 1, 19756),
(22, 46, 1, 17123),
(23, 46, 0, 362),
(24, 5, 1, 10967),
(25, 4.6, 0, 7423),
(26, 4.6, 0, 643),
(27, 1.2, 0, 16834),
(28, 100, 1, 2270),
(29, 100, 1, 2269),
(30, 100, 1, 19756),
(31, 46, 1, 17123),
(32, 46, 0, 362),
(33, 5, 1, 10967),
(34, 4.6, 0, 7423),
(35, 4.6, 0, 643),
(36, 1.3, 0, 16834),
(37, 100, 1, 2270),
(38, 100, 1, 2269),
(39, 100, 1, 19756),
(40, 46, 1, 17123),
(41, 46, 0, 362),
(42, 5, 1, 10967),
(43, 4.6, 0, 7423),
(44, 4.6, 0, 643),
(45, 1.4, 0, 16834),
(46, 100, 1, 19756),
(47, 46, 1, 17124),
(48, 46, 0, 364),
(49, 5, 1, 10967),
(51, 4.6, 0, 643),
(50, 4.6, 0, 7423),
(52, 1, 0, 16834),
(53, 100, 1, 19756),
(54, 46, 1, 17124),
(55, 46, 0, 364),
(56, 5, 1, 10967),
(58, 4.6, 0, 643),
(57, 4.6, 0, 7423),
(59, 1.1, 0, 16834),
(60, 100, 1, 19756),
(62, 46, 0, 364),
(61, 46, 1, 17124),
(63, 5, 1, 10967),
(64, 4.6, 0, 7423),
(65, 4.6, 0, 643),
(66, 1.2, 0, 16834),
(67, 100, 1, 19756),
(68, 46, 1, 17124),
(69, 46, 0, 364),
(71, 4.6, 0, 7423),
(70, 5, 1, 10967),
(73, 1.3, 0, 16834),
(72, 4.6, 0, 643),
(74, 100, 1, 19756),
(75, 46, 1, 17124),
(77, 5, 1, 10967),
(76, 46, 0, 364),
(78, 4.6, 0, 7423),
(79, 4.6, 0, 643),
(80, 1.4, 0, 16834),
(81, 100, 1, 19756),
(83, 46, 0, 363),
(82, 46, 1, 17124),
(84, 5, 1, 10967),
(85, 4.6, 0, 7423),
(87, 1, 0, 16834),
(86, 4.6, 0, 643),
(88, 100, 1, 19756),
(89, 46, 1, 17124),
(90, 46, 0, 363),
(91, 5, 1, 10967),
(92, 4.6, 0, 7423),
(93, 4.6, 0, 643),
(94, 1.1, 0, 16834),
(95, 100, 1, 19756),
(96, 46, 1, 17124),
(98, 5, 1, 10967),
(97, 46, 0, 363),
(99, 4.6, 0, 7423),
(100, 4.6, 0, 643),
(101, 1.2, 0, 16834),
(102, 100, 1, 19756),
(103, 46, 1, 17124),
(104, 46, 0, 363),
(105, 5, 1, 10967),
(106, 4.6, 0, 7423),
(107, 4.6, 0, 643),
(108, 1.3, 0, 16834),
(109, 100, 1, 19756),
(110, 46, 1, 17124),
(111, 46, 0, 363),
(112, 5, 1, 10967),
